iter	RMSE
133	5.472308944
134	5.464928066
135	5.454166401
136	5.445917997
137	5.436490011
138	5.431281282
139	5.420193998
140	5.409038878
141	5.39767157
142	5.389789361
143	5.384491002
144	5.375882108
145	5.368562921
146	5.360361944
147	5.352624745
148	5.347702315
149	5.339758796
150	5.331116751
151	5.323809168
152	5.318251229
153	5.31168191
154	5.306121615
155	5.30025161
156	5.294539403
157	5.289697756
158	5.282696636
159	5.276440442
160	5.268155176
161	5.257324833
162	5.250598172
163	5.245418955
164	5.241280889
165	5.236389385
166	5.228969386
167	5.219840103
168	5.213651191
169	5.20769274
170	5.198273825
171	5.184330253
172	5.176065643
173	5.168922604
174	5.163013312
175	5.157207643
176	5.151933367
177	5.145911772
178	5.137973765
179	5.130406786
180	5.119562579
181	5.113778134
182	5.10815591
183	5.102858957
184	5.096417465
185	5.090608773
186	5.085247546
187	5.078720283
188	5.073782528
189	5.067163031
190	5.062946928
191	5.058272969
192	5.051749663
193	5.046530501
194	5.035137456
195	5.025668842
196	5.014314778
197	5.009753791
198	5.0036039
199	4.998609046
200	4.994483529
201	4.987957693
202	4.98068547
203	4.974778953
204	4.970338476
205	4.961104361
206	4.956418806
207	4.948678591
208	4.943950558
209	4.936277981
210	4.930326005
211	4.923899149
212	4.918110175
213	4.910624352
214	4.904473273
215	4.897365202
216	4.894708899
217	4.88951148
218	4.885283738
219	4.880456073
220	4.872276242
221	4.868037143
222	4.862995053
223	4.857102162
224	4.853306402
225	4.846685776
226	4.841811176
227	4.834978882
228	4.825639747
229	4.818910843
230	4.808884167
231	4.800427788
232	4.795684856
233	4.790966629
234	4.784091528
235	4.780245835
236	4.772603206
237	4.76412849
238	4.753273035
239	4.749536524
240	4.740647468
241	4.733053833
242	4.723272567
243	4.715140542
244	4.71122672
245	4.702835553
246	4.693424847
247	4.687408206
248	4.680975738
249	4.677078807
250	4.669923607
251	4.665201908
252	4.65935504
253	4.650542439
254	4.644358418
255	4.636505952
256	4.62251521
257	4.617125016
258	4.615017376
259	4.610852246
260	4.60714728
261	4.602382051
262	4.598157495
263	4.594221563
264	4.582971154
265	4.578136344
266	4.573357872
267	4.56966241
268	4.560429473
269	4.554362831
270	4.545125226
271	4.539525144
272	4.533385776
273	4.526707834
274	4.522595815
275	4.514195623
276	4.509754235
277	4.502520095
278	4.500342239
279	4.494234517
280	4.490328937
281	4.486632414
282	4.480464273
283	4.473254531
284	4.46672386
285	4.461804546
286	4.45508991
287	4.449951897
288	4.445402643
289	4.438191329
290	4.428356197
291	4.422046812
292	4.415604708
293	4.410592749
294	4.404335247
295	4.39758423
296	4.393030721
297	4.385357109
298	4.38119438
299	4.376618885
300	4.369736554
301	4.362317882
302	4.354075558
303	4.350342923
304	4.344047399
305	4.335131149
306	4.325771045
307	4.320183857
308	4.310652415
309	4.302686362
310	4.299070522
311	4.294835692
312	4.290528311
313	4.285470335
314	4.282085057
315	4.275528005
316	4.270149663
317	4.263485762
318	4.25988889
319	4.253006497
320	4.24834996
321	4.244265077
322	4.236713984
323	4.232562265
324	4.227146136
325	4.222915279
326	4.217020832
327	4.211608213
328	4.205178808
329	4.200095578
330	4.196436823
331	4.188376723
332	4.180258459
333	4.177620522
334	4.17174052
335	4.16844507
336	4.162377229
337	4.159819708
338	4.155869817
339	4.151212422
340	4.146985277
341	4.141125491
342	4.135540688
343	4.1303031
344	4.126919437
345	4.121140024
346	4.11662098
347	4.113038334
348	4.102852596
349	4.096633034
350	4.087682973
351	4.08107719
352	4.078352024
353	4.074269244
354	4.069954014
355	4.064854138
356	4.060875187
357	4.056281616
358	4.051351949
359	4.045558509
360	4.041659559
361	4.037464509
362	4.033407097
363	4.026281194
364	4.023679781
365	4.018850796
366	4.014370078
367	4.01039706
368	4.003178915
369	3.998492949
370	3.993899385
371	3.991129766
372	3.984353241
373	3.980810975
374	3.975127214
375	3.965914329
376	3.963574187
377	3.956271378
378	3.952680111
379	3.949837952
380	3.945071814
381	3.941053727
382	3.937779431
383	3.933263595
384	3.925923387
385	3.922580577
386	3.915585091
387	3.911529103
388	3.904544462
389	3.900687654
390	3.89550399
391	3.892860634
392	3.887717611
393	3.882119896
394	3.878168407
395	3.870112504
396	3.864919818
397	3.855588266
398	3.852980911
399	3.84712427
400	3.843405572
401	3.839868304
402	3.833856911
403	3.831151645
404	3.82594729
405	3.820433477
406	3.816984939
407	3.815342921
408	3.811624614
409	3.808623399
410	3.802766362
411	3.798921927
412	3.794605037
413	3.790565796
414	3.786581549
415	3.779682627
416	3.776391199
417	3.773349796
418	3.767940105
419	3.762202897
420	3.759817729
421	3.755818359
422	3.752892197
423	3.749649471
424	3.747458274
425	3.74190921
426	3.737635334
427	3.733824277
428	3.730641015
429	3.72865979
430	3.724870866
431	3.720694992
432	3.7165745
433	3.710514607
434	3.707266726
435	3.703189341
436	3.699944921
437	3.695090287
438	3.690579422
439	3.68696235
440	3.683980566
441	3.677428595
442	3.671326724
443	3.666552785
444	3.663153645
445	3.65689648
446	3.654187945
447	3.649888532
448	3.646041447
449	3.643709848
450	3.640657366
451	3.634482274
452	3.630946741
453	3.627266827
454	3.622647862
455	3.619809067
456	3.615774467
457	3.609997464
458	3.605680817
459	3.602155588
460	3.597969041
461	3.593566895
462	3.59052875
463	3.587241587
464	3.58222987
465	3.578598992
466	3.574888387
467	3.572370402
468	3.563709729
469	3.561045664
470	3.557290457
471	3.554113508
472	3.55181235
473	3.547161023
474	3.544673955
475	3.542036197
476	3.539310698
477	3.535368521
478	3.533148661
479	3.527279895
480	3.522436341
481	3.520664415
482	3.517432826
483	3.514844873
484	3.511009684
485	3.507712697
486	3.505484665
487	3.501647178
488	3.499415582
489	3.495450517
490	3.490759354
491	3.487436467
492	3.480712958
493	3.474330554
494	3.471417263
495	3.468731211
496	3.465461393
497	3.46143364
498	3.457113865
499	3.456414393
500	3.452913674
501	3.448584731
502	3.446410998
503	3.444232763
504	3.44159722
505	3.438775215
506	3.435235857
507	3.431745583
508	3.42944768
509	3.422196438
510	3.420114606
511	3.417192447
512	3.415317221
513	3.413466127
514	3.409081841
515	3.403489851
516	3.39944692
517	3.394705798
518	3.392137017
519	3.385445239
520	3.381620227
521	3.378098112
522	3.374120659
523	3.372414098
524	3.370790706
525	3.36710469
526	3.360675126
527	3.357075633
528	3.353146873
529	3.352046831
530	3.348612031
531	3.347151194
532	3.343668099
533	3.3394791
534	3.336521442
535	3.333685439
536	3.328849568
537	3.324856717
538	3.323047545
539	3.320110756
540	3.317777182
541	3.312930247
542	3.309770995
543	3.307071122
544	3.302119689
545	3.298271486
546	3.297373468
547	3.292410607
548	3.289818342
549	3.285567319
550	3.282224659
551	3.278395175
552	3.276845632
553	3.273801876
554	3.26807339
555	3.26550627
556	3.260085471
557	3.256952585
558	3.252654492
559	3.249191733
560	3.244778661
561	3.24134124
562	3.240055924
563	3.239201646
564	3.235616811
565	3.232899792
566	3.228612138
567	3.224186505
568	3.220954556
569	3.215668039
570	3.213111575
571	3.207734915
572	3.203693732
573	3.201535267
574	3.198930276
575	3.193465198
576	3.191098341
577	3.188354453
578	3.184525222
579	3.182062599
580	3.175505383
581	3.172005317
582	3.166471185
583	3.165356894
584	3.159918721
585	3.154874269
586	3.152491682
587	3.150998692
588	3.147653167
589	3.145883419
590	3.141230181
591	3.138770937
592	3.135779822
593	3.13388153
594	3.130258335
595	3.125814828
596	3.122068864
597	3.118991814
598	3.115862993
599	3.111596935
600	3.108382533
601	3.104830806
602	3.101016694
603	3.096066095
604	3.094704442
605	3.092678025
606	3.091183807
607	3.086031601
608	3.081780633
609	3.080370536
610	3.076729971
611	3.071698867
612	3.069490477
613	3.065937164
614	3.062749028
615	3.058647249
616	3.055201066
617	3.050873525
618	3.046273564
619	3.041616485
620	3.040714001
621	3.038073875
622	3.035572808
623	3.034725024
624	3.031154232
625	3.026607671
626	3.022402085
627	3.021565475
628	3.018980824
629	3.015360826
630	3.011670598
631	3.009298001
632	3.006015947
633	3.004002084
634	2.999177073
635	2.996050941
636	2.993538065
637	2.988503228
638	2.984095719
639	2.980619989
640	2.976861576
641	2.97345249
642	2.971392513
643	2.969472138
644	2.96709816
645	2.966494456
646	2.961736212
647	2.958588649
648	2.955470656
649	2.953800022
650	2.951196687
651	2.94639164
652	2.943828696
653	2.939172889
654	2.937320553
655	2.93361733
656	2.929875233
657	2.927095176
658	2.924720423
659	2.922316619
660	2.921649955
661	2.920909599
662	2.917653542
663	2.914331664
664	2.909565261
665	2.907822064
666	2.904255492
667	2.902134612
668	2.899793403
669	2.89727776
670	2.895620011
671	2.893071679
672	2.891449337
673	2.887619912
674	2.884110584
675	2.878744662
676	2.873623444
677	2.870154592
678	2.866724124
679	2.864724344
680	2.860886704
681	2.85964615
682	2.85622471
683	2.853321042
684	2.849701932
685	2.846732694
686	2.845478016
687	2.844967322
688	2.841908663
689	2.838804265
690	2.836390344
691	2.834924182
692	2.832944478
693	2.829168917
694	2.826622403
695	2.823964834
696	2.820187571
697	2.81765444
698	2.812705638
699	2.810956796
700	2.806416947
701	2.80310921
702	2.799352772
703	2.795960093
704	2.794660149
705	2.790585379
706	2.786630763
707	2.783278404
708	2.781165306
709	2.778929926
710	2.776680359
711	2.774605422
712	2.773304851
713	2.772292101
714	2.769643154
715	2.767034155
716	2.764869063
717	2.762213823
718	2.75955923
719	2.756886852
720	2.752519091
721	2.750084143
722	2.747522523
723	2.744992936
724	2.741872253
725	2.738916476
726	2.737751821
727	2.737211524
728	2.734684038
729	2.7310771
730	2.729122052
731	2.725233443
732	2.721503767
733	2.719654312
734	2.717785304
735	2.715112221
736	2.712691552
737	2.70858664
738	2.706328305
739	2.704319322
740	2.700272648
741	2.697359231
742	2.694681656
743	2.693757819
744	2.692788382
745	2.690361614
746	2.688606956
747	2.687067881
748	2.684649626
749	2.681969001
750	2.679092862
751	2.674749739
752	2.670189712
753	2.667283446
754	2.665699126
755	2.662417082
756	2.661846149
757	2.658538936
758	2.656529273
759	2.652717925
760	2.651303375
761	2.649234724
762	2.646613827
763	2.645594035
764	2.643687502
765	2.639638569
766	2.635840544
767	2.633099379
768	2.631416964
769	2.62981374
770	2.626459981
771	2.624551806
772	2.621015231
773	2.618324505
774	2.615396317
775	2.612726883
776	2.611134719
777	2.608523792
778	2.604296555
779	2.601381272
780	2.598778356
781	2.59689076
782	2.594428499
783	2.591724089
784	2.588655556
785	2.586808533
786	2.583195128
787	2.580102824
788	2.578289735
789	2.576487545
790	2.574907207
791	2.573161128
792	2.570190726
793	2.566708522
794	2.563650518
795	2.563239148
796	2.561571557
797	2.558854829
798	2.557527121
799	2.554462088
800	2.550927691
801	2.549378363
802	2.547484446
803	2.544999363
804	2.543068048
805	2.542603498
806	2.539530935
807	2.536933834
808	2.534170571
809	2.531844093
810	2.530697249
811	2.527909892
812	2.524827549
813	2.523487994
814	2.522624168
815	2.519604081
816	2.518097808
817	2.516517244
818	2.515578703
819	2.514599695
820	2.510822717
821	2.50612855
822	2.502544497
823	2.496047637
824	2.492488849
825	2.489529425
826	2.487930428
827	2.484605995
828	2.48280685
829	2.481443479
830	2.480130332
831	2.47743004
832	2.475144699
833	2.472825013
834	2.47045211
835	2.468929154
836	2.467029488
837	2.463847639
838	2.461815556
839	2.459686887
840	2.456378889
841	2.455566463
842	2.45184889
843	2.449613371
844	2.443957695
845	2.441942502
846	2.440002487
847	2.43616551
848	2.434097783
849	2.4317162
850	2.430218016
851	2.427649284
852	2.424540074
853	2.42135963
854	2.420678722
855	2.418697496
856	2.415896667
857	2.413211313
858	2.411365033
859	2.408260523
860	2.405216939
861	2.402702301
862	2.401112652
863	2.397527545
864	2.396422796
865	2.395743096
866	2.39394622
867	2.393481554
868	2.389250031
869	2.387337989
870	2.384373131
871	2.382781755
872	2.380176719
873	2.376713419
874	2.37466103
875	2.371477941
876	2.369268951
877	2.366581373
878	2.362759782
879	2.359681966
880	2.359296047
881	2.357383173
882	2.354758045
883	2.351498475
884	2.347970107
885	2.345729238
886	2.344104919
887	2.341513906
888	2.338773957
889	2.337119385
890	2.335925289
891	2.333862733
892	2.331127993
893	2.330457222
894	2.327644954
895	2.324492803
896	2.322607942
897	2.319525844
898	2.317600956
899	2.315235797
900	2.313036902
901	2.310959812
902	2.308105405
903	2.305124236
904	2.303401711
905	2.301212117
906	2.299021203
907	2.296622556
908	2.294728852
909	2.293264962
910	2.291147963
911	2.288982228
912	2.285931628
913	2.2840296
914	2.281088535
915	2.278368938
916	2.275729644
917	2.27459997
918	2.272893549
919	2.271069266
920	2.269453404
921	2.266933266
922	2.263708802
923	2.261162792
924	2.258531693
925	2.255661962
926	2.253762576
927	2.251930045
928	2.249296953
929	2.24624357
930	2.244601976
931	2.242119676
932	2.2401624
933	2.23970567
934	2.237966172
935	2.235067688
936	2.232672031
937	2.230165332
938	2.229400567
939	2.22901958
940	2.228208301
941	2.224852794
942	2.223955923
943	2.221406111
944	2.218633446
945	2.217827665
946	2.215175036
947	2.212997023
948	2.210847217
949	2.209255059
950	2.207819783
951	2.205941016
952	2.203875717
953	2.20179066
954	2.200608953
955	2.198619171
956	2.19554069
957	2.191508759
958	2.19111459
959	2.18890377
960	2.187081646
961	2.184369094
962	2.181876262
963	2.179439001
964	2.178917502
965	2.177004857
966	2.175505752
967	2.173853083
968	2.171516381
969	2.169764473
970	2.167177635
971	2.166933078
972	2.165837703
973	2.164145778
974	2.162431955
975	2.16139381
976	2.159115363
977	2.155981085
978	2.154435939
979	2.152536813
980	2.150481338
981	2.147679329
982	2.14617319
983	2.144786821
984	2.142455867
985	2.141219796
986	2.138282304
987	2.136141886
988	2.134079647
989	2.132411368
990	2.130623572
991	2.127879665
992	2.126785203
993	2.124590553
994	2.122948214
995	2.121850675
996	2.121252446
997	2.12081792
998	2.118840069
999	2.116736438
